date,cases,country
05-02-20,5,Japan
04-02-20,0,Japan
03-02-20,1,Japan
02-02-20,4,Japan
01-02-20,1,Japan
31-01-20,3,Japan
30-01-20,4,Japan
29-01-20,3,Japan
28-01-20,1,Japan
27-01-20,0,Japan
26-01-20,1,Japan
25-01-20,0,Japan
24-01-20,1,Japan
23-01-20,0,Japan
22-01-20,0,Japan
21-01-20,0,Japan
20-01-20,0,Japan
19-01-20,0,Japan
18-01-20,0,Japan
17-01-20,0,Japan
16-01-20,0,Japan
15-01-20,1,Japan
14-01-20,0,Japan
13-01-20,0,Japan
12-01-20,0,Japan
11-01-20,0,Japan
10-01-20,0,Japan
09-01-20,0,Japan
08-01-20,0,Japan
07-01-20,0,Japan
06-01-20,0,Japan
05-01-20,0,Japan
04-01-20,0,Japan
03-01-20,0,Japan
02-01-20,0,Japan
01-01-20,0,Japan
31-12-19,0,Japan
16-06-20,8246,Russia
15-06-20,8835,Russia
14-06-20,8706,Russia
13-06-20,8987,Russia
12-06-20,8779,Russia
11-06-20,8404,Russia
10-06-20,8595,Russia
09-06-20,8985,Russia
08-06-20,8984,Russia
07-06-20,8855,Russia
06-06-20,8726,Russia
05-06-20,8831,Russia
04-06-20,8536,Russia
03-06-20,8863,Russia
02-06-20,9035,Russia
01-06-20,9268,Russia
31-05-20,8952,Russia
30-05-20,8572,Russia
29-05-20,8371,Russia
28-05-20,8338,Russia
27-05-20,8915,Russia
26-05-20,8946,Russia
25-05-20,8599,Russia
24-05-20,9434,Russia
23-05-20,8894,Russia
22-05-20,8849,Russia
21-05-20,8764,Russia
20-05-20,9263,Russia
19-05-20,8926,Russia
18-05-20,9709,Russia
17-05-20,9200,Russia
16-05-20,10598,Russia
15-05-20,9974,Russia
14-05-20,10028,Russia
13-05-20,10899,Russia
12-05-20,11656,Russia
11-05-20,11012,Russia
10-05-20,10817,Russia
09-05-20,10699,Russia
08-05-20,11231,Russia
07-05-20,10559,Russia
06-05-20,10102,Russia
05-05-20,10581,Russia
04-05-20,10633,Russia
03-05-20,9623,Russia
02-05-20,7933,Russia
01-05-20,7099,Russia
30-04-20,5841,Russia
29-04-20,6411,Russia
28-04-20,6198,Russia
27-04-20,6361,Russia
26-04-20,5966,Russia
25-04-20,5849,Russia
24-04-20,4774,Russia
23-04-20,5236,Russia
22-04-20,5642,Russia
21-04-20,4268,Russia
20-04-20,6060,Russia
19-04-20,4785,Russia
18-04-20,4070,Russia
17-04-20,3448,Russia
16-04-20,3388,Russia
15-04-20,2774,Russia
14-04-20,2558,Russia
13-04-20,2186,Russia
